iter	RMSE
0	10838.7671
1	10066.2293
2	9409.613031
3	8806.443552
4	8246.711602
5	7757.497842
6	7355.944886
7	6977.012858
8	6641.881529
9	6369.634477
10	6114.035813
11	5871.503707
12	5677.387009
13	5509.31203
14	5397.634199
15	5280.37453
16	5145.839658
17	5079.745044
18	4988.028937
19	4916.948806
20	4835.195733
21	4765.407897
22	4711.797988
23	4653.808882
24	4620.67649
25	4579.714163
26	4553.017941
27	4511.013492
28	4482.5194
29	4460.000386
30	4430.339472
31	4408.537212
32	4391.309113
33	4375.952931
34	4359.223664
35	4347.167742
36	4332.254274
37	4311.972091
38	4300.194785
39	4283.718343
40	4266.479945
41	4251.339171
42	4238.250331
43	4231.121145
44	4216.956056
45	4206.056624
46	4199.663729
47	4189.160787
48	4184.47221
49	4174.327759
