iter	RMSE
0	11641.57524
1	11268.80088
2	10954.47541
3	10622.18289
4	10319.36598
5	10033.98668
6	9757.285099
7	9505.203921
8	9235.682509
9	8989.711522
10	8747.21408
11	8554.876588
12	8349.051703
13	8164.72161
14	7973.364234
15	7775.203644
16	7596.743957
17	7437.034782
18	7277.744685
19	7120.661286
20	6965.472521
21	6836.379828
22	6705.580967
23	6579.443223
24	6467.057254
25	6346.044763
26	6231.134383
27	6131.310355
28	6038.609417
29	5942.500184
30	5859.439857
31	5777.734145
32	5695.734978
33	5623.104312
34	5552.03759
35	5487.172806
36	5417.810125
37	5353.525108
38	5297.312038
39	5249.124561
40	5198.047987
41	5146.691342
42	5097.001834
43	5053.398005
44	5012.759265
45	4976.145503
46	4937.740479
47	4905.613687
48	4872.516299
49	4839.920511
50	4809.595706
51	4780.495201
52	4754.497801
53	4727.253726
54	4706.209924
55	4684.557658
56	4661.650187
57	4643.828993
58	4623.7729
59	4602.824798
60	4584.988133
61	4566.87728
62	4555.94663
63	4540.11418
64	4523.831462
65	4508.572232
66	4495.012064
67	4482.061272
68	4470.939479
69	4459.236843
70	4446.786868
71	4435.402483
72	4424.806431
73	4415.757813
74	4407.288858
75	4397.295751
76	4387.867771
77	4381.506137
78	4372.605341
79	4364.584527
80	4356.564411
81	4349.163621
82	4339.756618
83	4333.361306
84	4328.044018
85	4321.914124
86	4315.297013
87	4309.178532
88	4300.778018
89	4298.295819
90	4294.716522
91	4292.90978
92	4287.788054
93	4281.145418
94	4274.341225
95	4268.045396
96	4263.543568
97	4258.647141
98	4251.857824
99	4246.112042
100	4240.884606
101	4237.322364
102	4231.828571
103	4229.13311
104	4226.172324
105	4223.627725
106	4221.121101
107	4217.755959
108	4211.991325
109	4209.759539
110	4208.310215
111	4205.577553
112	4200.860266
113	4198.141079
114	4196.130665
115	4192.564436
116	4189.312334
117	4185.493713
118	4181.499533
119	4180.022913
120	4176.680758
121	4171.638251
122	4169.960382
123	4165.896042
124	4163.211515
125	4156.873927
126	4155.907791
127	4152.759995
128	4148.609788
129	4148.398932
130	4146.152839
131	4139.747901
132	4137.498775
133	4133.570576
134	4129.115947
135	4124.932657
136	4122.417763
137	4116.72649
138	4113.035139
139	4109.309677
140	4106.898099
141	4105.025128
142	4102.565736
143	4101.5214
144	4098.909588
145	4096.166771
146	4091.367756
147	4088.423447
148	4085.354495
149	4083.768797
150	4076.626038
151	4071.572256
152	4071.083947
153	4066.346151
154	4063.466338
155	4059.932402
156	4057.924704
157	4051.87632
158	4050.230706
159	4046.984703
160	4044.74029
161	4042.671299
162	4040.482262
163	4036.919182
164	4033.713565
165	4031.38379
166	4027.901344
167	4023.405656
168	4021.648648
169	4018.722133
170	4016.254552
171	4012.786912
172	4010.445275
173	4006.244954
174	4001.231748
175	3997.198535
176	3995.17666
177	3991.656107
178	3991.17512
179	3986.261196
180	3983.011004
181	3981.648037
182	3977.571078
183	3974.429314
184	3970.194679
185	3968.552771
186	3964.302193
187	3962.546871
188	3956.849761
189	3954.445701
190	3951.073096
191	3947.352829
192	3944.117828
193	3942.0053
194	3939.589507
195	3937.941451
196	3934.738406
197	3930.601842
198	3927.546923
199	3925.541562
200	3924.458522
201	3921.301496
202	3921.059942
203	3919.632601
204	3917.548024
205	3914.218863
206	3912.462553
207	3909.800287
208	3907.326417
209	3906.024206
210	3901.847379
211	3899.053161
212	3895.516495
213	3894.48528
214	3892.161866
215	3890.507197
216	3886.544392
217	3883.506258
218	3883.250668
219	3880.884872
220	3875.525824
221	3872.621734
222	3870.762238
223	3870.53808
224	3867.879822
225	3861.970101
226	3858.245354
227	3856.753324
228	3856.099633
229	3853.629968
230	3852.703244
231	3852.285739
232	3851.047273
233	3848.487128
234	3844.465289
235	3841.27479
236	3838.62073
237	3836.077131
238	3832.524728
239	3830.702263
240	3828.34936
241	3827.84423
242	3824.066859
243	3822.323299
244	3820.125617
245	3818.527877
246	3815.555102
247	3813.451177
248	3811.482765
249	3807.847649
250	3804.847671
251	3804.000554
252	3802.749394
253	3802.036985
254	3801.276313
255	3798.653212
256	3797.208937
257	3795.105357
258	3793.549604
259	3791.77992
260	3789.302552
261	3787.496068
262	3784.458706
263	3781.099937
264	3779.377711
265	3776.87154
266	3774.853918
267	3774.015559
268	3773.327042
269	3770.073184
270	3767.691426
271	3765.302599
272	3762.982703
273	3761.029681
274	3757.701805
275	3757.245011
276	3756.909594
277	3755.245777
278	3752.875996
279	3750.651229
280	3750.011399
281	3747.202967
282	3744.207566
283	3743.148262
284	3740.839181
285	3738.569221
286	3735.756491
287	3732.513506
288	3731.351821
289	3730.569705
290	3727.873822
291	3725.797326
292	3725.198722
293	3724.327771
294	3722.48602
295	3720.297396
296	3717.909022
297	3716.146341
298	3713.40724
299	3711.426894
300	3710.671959
301	3709.167465
302	3705.798846
303	3703.240721
304	3700.187173
305	3698.990338
306	3698.637497
307	3698.358782
308	3696.459037
309	3693.014371
310	3690.957544
311	3690.055308
312	3688.278291
313	3687.731718
314	3687.234276
315	3685.547183
316	3684.104056
317	3683.599437
318	3682.341463
319	3679.411066
320	3678.911023
321	3677.196833
322	3674.415342
323	3673.351298
324	3671.965741
325	3670.069376
326	3667.181138
327	3665.775216
328	3662.275928
329	3660.870035
330	3658.324636
331	3654.279186
332	3652.946454
333	3650.782855
334	3649.461094
335	3647.961775
336	3647.010819
337	3644.774404
338	3643.530923
339	3642.941988
340	3639.227734
341	3636.240775
342	3634.50699
343	3632.850223
344	3629.660312
345	3628.363329
346	3624.9926
347	3624.459303
348	3624.141863
349	3620.330202
350	3619.373926
351	3617.75532
352	3614.043343
353	3612.785216
354	3609.542805
355	3605.971226
356	3604.27738
357	3602.875454
358	3600.926777
359	3598.571194
360	3597.223252
361	3594.163448
362	3592.79738
363	3590.157725
364	3589.004086
365	3586.616133
366	3583.67166
367	3581.19664
368	3579.712762
369	3577.483659
370	3575.657739
371	3570.251999
372	3567.949298
373	3564.412252
374	3561.630774
375	3559.350161
376	3557.122945
377	3555.952316
378	3553.389052
379	3552.554784
380	3550.70699
381	3547.918926
382	3546.319973
383	3544.465546
384	3541.971455
385	3541.52417
386	3539.282036
387	3536.560928
388	3533.829437
389	3531.173411
390	3529.705574
391	3528.138617
392	3526.2461
393	3524.891462
394	3523.41935
395	3520.57414
396	3519.548541
397	3519.210808
398	3518.511358
399	3516.19893
400	3513.109648
401	3512.271689
402	3509.33101
403	3508.170822
404	3505.723299
405	3505.378476
406	3504.742248
407	3501.854018
408	3500.165919
409	3499.888534
410	3497.884176
411	3497.533137
412	3495.152903
413	3493.72224
414	3493.279739
415	3491.339484
416	3490.490412
417	3490.21862
418	3488.987173
419	3486.713432
420	3484.098118
421	3483.588843
422	3481.815841
423	3480.103296
424	3478.490667
425	3477.41455
426	3476.585916
427	3475.399807
428	3475.071919
429	3473.050525
430	3470.815342
431	3468.980148
432	3468.460747
433	3467.360509
434	3465.595104
435	3463.415364
436	3463.077812
437	3461.223586
438	3459.870415
439	3457.598272
440	3455.056895
441	3453.158757
442	3450.375517
443	3448.808345
444	3447.90436
445	3446.551975
446	3446.02645
447	3444.884251
448	3444.199638
449	3443.972352
450	3443.64684
451	3441.650428
452	3439.582267
453	3436.329377
454	3433.33409
455	3432.011934
